01101,"060  ","0600000","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ","北海道","札幌市中央区","以下に掲載がない場合",0,0,0,0,0,0
01101,"060  ","0600000","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ","北海道","札幌市中央区","以下に掲載がない場合",0,0,0,0,0,0
01101,"064  ","0640941","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼﾁｭｳｵｳｸ","ｱｻﾋｶﾞｵｶ","北海道","札幌市中央区","旭ケ丘",0,0,1,0,0,0
23235,"498  ","4980000","ｱｲﾁｹﾝ","ﾔﾄﾐｼ","ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ","愛知県","弥富市","以下に掲載がない場合",0,0,0,0,0,0
24303,"498  ","4980000","ﾐｴｹﾝ","ｸﾜﾅｸﾞﾝｷｿｻｷﾁｮｳ","ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ","三重県","桑名郡木曽岬町","以下に掲載がない場合",0,0,0,0,0,0
11211,"367  ","3670030","ｻｲﾀﾏｹﾝ","ﾎﾝｼﾞｮｳｼ","ｱｻﾋﾁｮｳ","埼玉県","本庄市","朝日町",0,0,1,0,0,0
11211,"367  ","3670030","ｻｲﾀﾏｹﾝ","ﾎﾝｼﾞｮｳｼ","ﾜｾﾀﾞﾉﾓﾘ","埼玉県","本庄市","早稲田の杜",0,0,1,0,0,0
11219,"362  ","3620000","ｻｲﾀﾏｹﾝ","ｱｹﾞｵｼ","ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ","埼玉県","上尾市","以下に掲載がない場合",0,0,0,0,0,0
11301,"362  ","3620000","ｻｲﾀﾏｹﾝ","ｷﾀｱﾀﾞﾁｸﾞﾝｲﾅﾏﾁ","ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ","埼玉県","北足立郡伊奈町","以下に掲載がない場合",0,0,0,0,0,0
01101,"060  ","0600000","ﾎｯｶｲﾄﾞｳ","ｻｯﾎﾟﾛｼ ﾁｭｳｵｳｸ","ｲｶﾆｹｲｻｲｶﾞﾅｲﾊﾞｱｲ","北海道","札幌市中央区","以下に掲載がない場合",0,0,0,0,0,0
